Time,temperature
907834.5,291.6
907858.5,293.11
907882.5,291.47998
907906.5,293.68
907930.5,294.41998
907954.5,293.4
907978.5,293.63
908002.5,294.91998
908026.5,293.25
908050.5,292.94998
908074.5,294.99
908098.5,290.63998
908122.5,290.88998
908146.5,290.71
908170.5,290.8
908194.5,289.38
908218.5,290.38
908242.5,289.50998
908266.5,292.0
908290.5,292.63
908314.5,292.86
908338.5,291.41998
908362.5,292.4
908386.5,292.83
908410.5,294.91
908434.5,294.82
908458.5,295.31
908482.5,293.02
908506.5,291.02
908530.5,289.93
908554.5,289.41
908578.5,289.74
908602.5,291.31
908626.5,287.07
908650.5,284.4
908674.5,286.16998
908698.5,287.91
908722.5,288.69998
908746.5,289.28
908770.5,290.24
908794.5,291.83
908818.5,289.05
908842.5,289.35
908866.5,288.88998
908890.5,289.03
908914.5,288.97
908938.5,287.44998
908962.5,290.63
908986.5,290.47
909010.5,289.68
909034.5,284.49
909058.5,287.56
909082.5,289.0
909106.5,288.22998
909130.5,283.93
909154.5,281.16
909178.5,279.94
909202.5,281.22
909226.5,283.41
909250.5,284.86
909274.5,286.25998
909298.5,286.71
909322.5,282.68
909346.5,283.33
909370.5,283.13998
909394.5,279.05
909418.5,282.55
909442.5,283.28998
909466.5,278.41998
909490.5,279.72998
909514.5,276.72998
909538.5,276.22998
909562.5,276.94
909586.5,281.31
909610.5,281.84
909634.5,284.07
909658.5,285.12
909682.5,280.06
909706.5,272.9
909730.5,272.18
909754.5,274.96
909778.5,276.07
909802.5,275.91
909826.5,280.07
909850.5,274.09
909874.5,275.63
909898.5,278.65
909922.5,278.09
909946.5,273.18
909970.5,270.74
909994.5,274.87
910018.5,270.72
910042.5,274.84
910066.5,279.38
910090.5,271.57
910114.5,272.49
910138.5,275.41
910162.5,277.44998
910186.5,278.94998
910210.5,278.38998
910234.5,270.36
910258.5,274.47998
910282.5,276.35
910306.5,270.58
910330.5,266.22998
910354.5,264.29
910378.5,265.16998
910402.5,266.63
910426.5,267.11
910450.5,266.66
910474.5,268.82
910498.5,274.87
910522.5,272.16
910546.5,266.43
910570.5,267.44998
910594.5,270.07
910618.5,271.56
910642.5,273.15
910666.5,262.66
910690.5,259.43
910714.5,269.15
910738.5,270.6
910762.5,261.18
910786.5,260.02
910810.5,258.47998
910834.5,268.44998
910858.5,263.91998
910882.5,258.27
910906.5,261.01
910930.5,258.88
910954.5,256.69998
910978.5,256.51
911002.5,263.21
911026.5,258.38
911050.5,253.95999
911074.5,257.16
911098.5,255.56999
911122.5,256.94
911146.5,260.46
911170.5,257.13998
911194.5,255.40999
911218.5,260.97
911242.5,256.32
911266.5,260.44998
911290.5,259.61
911314.5,258.09
911338.5,256.57
911362.5,254.23999
911386.5,262.31
911410.5,263.47
911434.5,262.01
911458.5,263.41
911482.5,261.04
911506.5,257.38
911530.5,258.18
911554.5,266.5
911578.5,262.88998
911602.5,260.63998
911626.5,261.54
